x,y,d,t
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,0,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,3,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,2,3
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,3
