y,x,d,t
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
8,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
8,10,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
8,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
8,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
8,12,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
8,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
8,13,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
8,14,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
8,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
9,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
10,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
11,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
11,14,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
11,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
12,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
13,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
13,14,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
13,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
14,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
14,14,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
14,13,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
14,12,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
14,11,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
14,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
15,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
16,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
17,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
17,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
17,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
17,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
18,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
19,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
20,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
20,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
20,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
21,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
21,12,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
21,11,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
21,10,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
21,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
21,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
21,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
21,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
21,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
20,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
19,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
18,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
18,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
18,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
17,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
17,8,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
17,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
17,10,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
17,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
17,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
16,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
15,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
14,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
14,11,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
14,10,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
14,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
14,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
14,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
14,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
14,7,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
14,6,3,5
-2,-2,-2,-2
