y,x,d,t
21,9,0,3
21,10,0,3
21,11,0,3
21,12,0,3
-1,-1,-1,-1
-4,-4,-4,-4
21,8,2,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,2,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,2,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,8,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,9,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,1,4
-2,-2,-2,-2
